freq,siec,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 e	0.0000 e	0.0000 e	: 	: 	: 	: 	: 	: 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,AT	: 	16.95 	16.27 	17.11 	18.03 	17.23 	17.29 	16.71 	19.29 	20.03 	21.05 	21.2 	21.32 	20.96 	20.78 	20.28 	20.28 	19.75 	19.17 	18.71 	18.71 	19.401 	18.5850 	19.4767 	18.3400 	18.7267 	17.9895 	18.2267 	17.6667 	19.3023 	21.2942 	34.3100 	43.3257 	41.0360 	38.3186 	34.3622 	33.8776 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,BA	: 	: 	: 	: 	: 	: 	10.4796 	12.4286 	12.551 	14.898 	15.4082 	15.4082 	15.4082 	14.2347 	14.2347 	14.2347 	14.265 	14.265 	10.8598 	9.3311 	8.5335 	9.079 	9.0462 	9.0493 	9.3109 	9.2525 	10.3855 	9.5979 	8.9115 	10.1061 	12.1719 	18.1913 	16.3328 	14.2874 	14.9237 	14.2636 	13.9886 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,BE	: 	13.89 	16.26 	20.24 	16.82 	14.33 	14.7 	16.78 	17.6 	20.31 	19.13 	20.39 	18.32 	18.55 	18.27 	18.06 	16.23 	17.24 	15.19 	14.83 	14.5114 	15.3241 	14.8847 	17.3583 	15.3755 	15.9178 	13.7697 	13.8374 	13.0023 	18.7807 	26.1811 	37.8523 	31.8275 	27.6013 	22.2514 	25.0862 	25.5183 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,BG	: 	8.9784 	9.8476 	10.86 	13.1404 	9.6687 	10.2107 	11.9781 	11.944 	13.1046 	13.7233 	15.4413 	14.2397 	14.3931 	13.6261 	13.4421 	13.258 	10.86 	10.226 	8.6512 	9.1778 	10.421 	10.5356 	12.1462 	12.4631 	12.2712 	11.0110 	9.6658 	10.2154 	19.6549 	21.2110 	32.5875 	24.4176 	19.5192 	17.1954 	18.0292 	21.2425 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,CZ	: 	10.0601 	12.2018 	14.6866 	13.748 	13.1137 	13.0395 	14.352 	15.1247 	16.5298 	18.3111 	18.3554 	17.8029 	15.9818 	15.2285 	15.6282 	15.9493 	16.2059 	16.1879 	15.6484 	15.2685 	15.7333 	15.9675 	15.7950 	16.2682 	16.3205 	15.9069 	15.5124 	15.6045 	15.4004 	19.3386 	29.6077 	31.6191 	31.2625 	30.1251 	28.5842 	26.8560 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,DE	: 	17.04 	17.81 	21.17 	18 	16.35 	15.7 	15.86 	16.34 	17.77 	17.7 	18.01 	18.35 	19.13 	18.84 	18.93 	18.78 	18.93 	18.36 	17.83 	16.98 	16.929 	16.9010 	16.8777 	17.5503 	16.3256 	16.5765 	17.2123 	17.9618 	19.2318 	22.3901 	26.1491 	34.1544 	31.8039 	33.2776 	34.3838 	33.7647 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,DK	22.6474 	24.5874 	26.6286 	27.2065 	22.2989 	23.6401 	26.4979 	26.8147 	28.6448 	28.5862 	27.2187 	26.5285 	27.5854 	27.1403 	25.2216 	24.3822 	25.5584 	24.4829 	23.1489 	23.829 	24.672 	24.2971 	24.2095 	25.3678 	23.7451 	21.4069 	20.8287 	20.7421 	24.8473 	34.6420 	41.9111 	57.8873 	45.9819 	33.8947 	33.9807 	36.4752 	36.2655 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,EA	18.7883 	16.4753 	16.8943 	19.375 	18.4629 	15.9991 	16.0415 	17.7413 	17.3393 	19.9503 	19.0441 	21.4967 	20.1217 	21.8504 	20.1501 	21.9501 	19.6655 	21.3585 	18.8839 	19.8738 	18.1750 	20.1683 	18.4974 	21.2944 	19.8097 	21.6208 	19.1769 	21.0476 	19.0968 	23.4304 	25.1672 	33.1633 	34.7848 	33.9660 	32.5309 	36.8805 	33.7944 
S,G3000,GJ20-199,GJ_GCV,I_TAX,EUR,EE	: 	7.304 	9.2997 	10.3041 	10.9601 	10.0725 	10.068 	11.1386 	11.64 	12.14 	13.88 	14.38 	14.57 	13.21 	13.64 	13.71 	12.67 	10.68 	9.62 	9.1 	11.6133 	11.4589 	11.1426 	11.8001 	12.7321 	12.3807 	12.2553 	11.4294 	12.0958 	20.8218 	30.7210 	30.2534 	30.5282 	21.9662 	19.1855 	21.8820 	23.7711 
