freq,siec,nrg_cons,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 	2022-S1 	2022-S2 	2023-S1 	2023-S2 	2024-S1 	2024-S2 	2025-S1 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0000 d	0.0000 d	: 	: 	: 	: 	: 	: 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,AT	: 	14.61 	: 	: 	15.34 	14.71 	14.76 	15.14 	14.56 	16.18 	16.22 	16.42 	16.52 	16.63 	16.17 	15.65 	15.36 	14.99 	14.48 	14.2 	13.12 	13.6393 	13.1559 	13.5641 	13.4420 	13.6218 	12.9377 	13.0491 	12.4923 	14.4316 	18.7697 	23.2869 	33.3051 	29.3440 	24.6354 	27.1497 	26.9427 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	15.5612 	17.7041 	18.4184 	18.4184 	18.4184 	17.2449 	17.2449 	17.2449 	17.2817 	17.2817 	13.856 	12.3324 	11.1564 	11.6228 	11.5835 	11.5994 	11.9285 	12.0785 	12.9032 	12.1773 	11.4954 	12.5788 	14.8338 	20.6471 	18.8035 	16.7928 	17.2749 	16.9822 	17.2029 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,BE	: 	11.79 	13.23 	15.57 	13.46 	11.91 	12.17 	13.31 	14.1 	15.06 	14.96 	12.7 	15.62 	14.3 	13.5 	14.22 	12.03 	12.5 	11.01 	10.88 	10.411 	10.3929 	10.1139 	10.9636 	9.8560 	9.9168 	8.5599 	9.0366 	9.3696 	14.5597 	19.3580 	21.3397 	20.0649 	20.7923 	19.0644 	20.9563 	23.1558 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,BG	: 	6.335 	7.24 	9.5204 	11.2793 	7.8382 	8.6972 	10.7427 	10.3896 	11.3969 	12.67 	14.0556 	12.5217 	12.3632 	12.5064 	12.1843 	11.6014 	9.5613 	8.3955 	7.1991 	8.3342 	9.6255 	9.7583 	11.1558 	11.6422 	10.9644 	10.0228 	8.6183 	9.7916 	19.1414 	26.1753 	34.7048 	23.1757 	17.4930 	16.0460 	16.0147 	18.5479 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,CZ	: 	8.7461 	11.118 	13.5708 	12.3217 	9.9752 	10.6018 	12.5189 	12.8458 	13.6621 	13.2087 	13.1704 	12.257 	12.1586 	11.3682 	11.9532 	11.0412 	10.8457 	9.591 	9.7096 	8.9488 	9.4551 	9.5873 	9.5431 	10.4209 	10.2943 	9.4091 	9.5104 	8.7779 	9.7963 	22.9311 	27.6535 	24.9734 	22.7237 	24.1281 	23.5828 	22.7610 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,DE	: 	13.68 	15.93 	17.64 	15.27 	12.92 	14.02 	14.77 	15.46 	14.65 	15.22 	13.1 	17.5 	16.89 	16.32 	15.23 	14.46 	13.79 	11.74 	11.52 	11.71 	11.3871 	12.0279 	12.4802 	11.9692 	12.3689 	12.3202 	12.0444 	13.5116 	14.8136 	18.4045 	20.1728 	29.0442 	26.4433 	25.1613 	28.6451 	28.4323 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,DK	21.2382 	22.9848 	24.8382 	25.3581 	24.3823 	25.4282 	24.4393 	24.7549 	26.0711 	25.8207 	24.479 	24.1508 	24.7613 	24.7149 	24.7821 	24.0867 	22.87 	21.9833 	20.8118 	21.6724 	22.0191 	22.1289 	22.9439 	23.5563 	21.9746 	21.2293 	20.5284 	21.0068 	22.0958 	36.1416 	44.4786 	57.1340 	35.6999 	32.4284 	31.5434 	34.6602 	31.4307 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,EA	14.3248 	12.4009 	13.3074 	15.2107 	14.8664 	12.6423 	12.8322 	13.7952 	14.2117 	15.1246 	16.021 	15.5844 	17.2896 	16.6619 	16.3975 	15.8224 	15.106 	14.6155 	13.3743 	12.9935 	13.1220 	13.0901 	13.4108 	14.3160 	14.4091 	14.2799 	13.9660 	13.7602 	13.9841 	17.1181 	22.6087 	28.5658 	30.3276 	27.5994 	25.7434 	28.7484 	27.8050 
S,G3000,GJ1000-9999,GJ_GCV,I_TAX,EUR,EE	: 	6.3446 	8.9993 	11.3228 	10.0498 	7.9346 	9.99 	9.608 	9.84 	10.87 	13.02 	12.88 	13.74 	12.23 	12.69 	13.1 	12.29 	9.59 	8.84 	8.06 	10.59 	9.5516 	10.1875 	11.1623 	12.0595 	11.4244 	10.4820 	9.3916 	11.4104 	24.9278 	33.6781 	52.4054 	26.6563 	20.6296 	18.6761 	20.6612 	21.1342 
